dim_height,dim_width,dim_depth,dim_weight,display_size,num_usb,num_hdmi,display_type,energyclass,display_resolution,dim_color,smart,usb,wifi,dim_density,display_pixeldensity,display_relativeenergy,is_company_tcl,is_company_lg,is_company_hisense,is_company_dyras,is_company_samsung,is_company_sony,is_company_tesla,is_company_philips,is_company_panasonic,is_company_loewe,is_company_gaba,is_company_nokia,is_company_vortex,is_company_smart,is_company_strong,price,serial_id
84.0,145.6,28.5,,65.0,2.0,4.0,0.0,6.0,1.0,,1,1,1,,8.176347462061748e-05,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,539998.9962,285445
65.2,112.3,26.0,,50.0,,,0.0,4.0,1.0,,1,0,1,,0.00013657545247447404,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,379998.9987,285429
71.6,123.6,26.0,,55.0,2.0,4.0,0.0,4.0,1.0,,1,1,1,,0.00011299741461915353,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,439999.0057,285437
99.73,167.67,32.0,32.0,75.0,2.0,3.0,2.0,3.0,1.0,6.0,1,1,1,5.980242796781105e-05,5.980242796781105e-05,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,649899.9956,283465
,,,,75.0,2.0,4.0,2.0,5.0,1.0,6.0,1,1,1,,,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1599900.0006,283488
76.8,122.7,23.5,21.9,55.0,2.0,4.0,2.0,5.0,1.0,6.0,1,1,1,9.889411989110265e-05,0.00010611926107036131,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,288599.0037,269084
,,,,65.0,3.0,4.0,2.0,,1.0,2.0,1,1,1,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,489998.9946,245419
70.8,112.1,23.2,12.4,50.0,2.0,3.0,1.0,6.0,1.0,,1,1,1,6.734336758199773e-05,0.00012599726837922155,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,148199.0051,274054
90.4,144.7,29.4,19.5,65.0,2.0,3.0,4.0,6.0,1.0,6.0,0,1,1,5.0704945395298255e-05,7.644745613444968e-05,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,143999.0008,235311
76.8,123.0,25.0,13.0,55.0,,,,6.0,1.0,6.0,1,1,1,5.504742547425474e-05,0.00010586043360433605,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,119998.998,258130
